cpg,gene,in_type2_panel,type2_match
cg05078091,APLP2,False,
cg05089897,DYRK1A,False,
cg05096777,SUFU,False,
cg05115375,FMN1,False,
cg05136531,THUMPD2,False,
cg05140806,SHH,False,
cg05141059,ACAP2,False,
cg05141234,RGL2,False,
cg05142520,WNT10B,False,
cg05143842,-,False,
cg05144635,SORCS2,False,
cg05144642,-,False,
cg05147578,PEX26,False,
cg05164540,-,False,
cg05164634,WNT10B,False,
cg05180856,FES,False,
cg05184016,ZNF862,False,
cg05209514,CPM,False,
cg05211267,-,False,
cg05215575,SEPT12;LOC440335,False,
cg05218678,-,False,
cg05233670,CORO1C,False,
cg05238530,POLR2E,False,
cg05240166,TMEM159;DNAH3,False,
cg05241461,ZNF492,False,
cg05248542,CCDC109B,False,
cg05262549,NMNAT2,False,
cg05265512,TGIF1,False,
cg05269258,-,False,
cg05281603,BTG4;C11orf88;MIR34C,False,
cg05287314,FAM110A,False,
cg05298510,USP10,False,
cg05300717,DKFZp761E198,False,
cg05303999,KCNB1,False,
cg05306109,ITPKB,False,
cg05310486,-,False,
cg05314024,LOC149134,False,
cg05316601,MMP26,False,
cg05322500,-,False,
cg05335975,JPH4,False,
cg05337019,SLC25A34,False,
cg05337636,RPTOR,False,
cg05341904,RIPK4,False,
cg05344747,CD59,False,
cg05357717,RTEL1,False,
cg05364307,-,False,
cg05368555,SUOX,False,
cg05369766,-,False,
cg05372753,-,False,
cg05373723,CLGN,False,
cg05389236,-,False,
cg05396425,C16orf5,False,
cg05398095,YOD1,False,
cg05398769,CASZ1,False,
cg05399785,WDR8,False,
cg05404792,MT1L,False,
cg05405094,-,False,
cg05419854,-,False,
cg05422796,ZFP161,False,
cg05422883,-,False,
cg05429117,-,False,
cg05434641,-,False,
cg05453411,-,False,
cg05454635,CYP11A1,False,
cg05461386,ZNF454,False,
cg05464506,-,False,
cg05465955,COASY,False,
cg05468064,-,False,
cg05471169,-,False,
cg05475440,NLK,False,
cg05477517,-,False,
cg05480350,MIR1205;PVT1,False,
cg05481452,BEST1,False,
cg05482306,LOC100286948;TIMD4,False,
cg05482942,-,False,
cg05485250,ADAMTS18,False,
cg05490924,LOC151534;LBX2,False,
cg05492442,MAPK4,False,
cg05494073,HSPA1L,False,
cg05499338,CMIP,False,
cg05501285,P4HA2,False,
cg05503887,EHF,False,
cg05524246,OLFML2B,False,
cg05525368,CDC20,False,
cg05527185,THBS4,False,
cg05527491,B3GNT9,False,
cg05552543,-,False,
cg05559643,TNIP3,False,
cg05560635,MSI2,False,
cg05585475,-,False,
cg05587627,DDX6,False,
cg05592035,CD300A,False,
cg05603258,ZNF532,False,
cg05607053,SOX6,False,
cg05608790,AUTS2,False,
cg05609091,UGT1A10;UGT1A6;UGT1A3;UGT1A8;UGT1A4;UGT1A9;UGT1A7;UGT1A5,False,
cg05612608,-,False,
cg05627557,-,False,
cg05627765,-,False,
cg05644480,APOC1,False,
cg05650674,CDH3,False,
cg05656180,KCNQ1DN,False,
cg05660681,ZNF611,False,
cg05668894,ZNF844,False,
cg05679403,RELL1,False,
cg05690260,SEL1L3,False,
cg05695762,-,False,
cg05702218,RABGAP1L,False,
cg05704183,-,False,
cg05706582,LFNG,False,
cg05711037,DGKD,False,
cg05712295,CTBP1,False,
cg05714496,INPP5A,False,
cg05715138,ALOX15,False,
cg05716350,-,False,
cg05718255,HMOX1,False,
cg05720226,ST7;ST7OT2,False,
cg05729490,-,False,
cg05736236,EPHA4,False,
cg05736642,HTT,False,
cg05744264,COX4NB,False,
cg05773628,NCKAP1,False,
cg05779272,B4GALT1,False,
cg05780883,-,False,
cg05784157,KLHL14,False,
cg05801246,CPXM2,False,
cg05803296,ATXN7L1,False,
cg05815419,PYROXD2,False,
cg05816398,-,False,
cg05821186,LOC100130872;LOC100130872-SPON2,False,
cg05828925,FLJ14107;BIN3,False,
cg05829145,NCRNA00051,False,
cg05832593,OTP,False,
cg05844895,CBFA2T3,False,
cg05850870,-,False,
cg05856677,-,False,
cg05864261,ABCG8;ABCG5,False,
cg05867750,-,False,
cg05878630,HDDC3;UNC45A,False,
cg05885668,-,False,
cg05890855,-,False,
cg05892024,PDGFA,False,
cg05892425,-,False,
cg05904218,SCAF1,False,
cg05907835,PYCARD,False,
cg05915981,AKAP7,False,
cg05916684,-,False,
cg05917419,ZNF608,False,
cg05923914,DKFZp779M0652,False,
cg05924583,TP73,False,
cg05929019,LAMC2,False,
cg05931265,UBASH3B,False,
cg05931439,MMP14,False,
cg05936004,ATP2C1,False,
cg05939041,ITPK1,False,
cg05950943,NTN3,False,
cg05951558,ECE2,False,
cg05958050,MT1G;MT1H,False,
cg05965490,RBPMS,False,
cg05966431,CAMTA1,False,
cg05970033,-,False,
cg05972889,-,False,
cg05973262,NOTCH4,False,
cg05983231,-,False,
cg05989054,GAMT,False,
cg05990312,-,False,
cg05997362,LYN,False,
cg06005891,FOXF2,False,
cg06009042,ANXA6,False,
cg06033659,COL9A3,False,
cg06039392,MTNR1A,False,
cg06040872,CCL18,False,
cg06041805,-,False,
cg06048750,KLF6,False,
cg06061966,DGKZ,False,
cg06062940,PNPLA5,False,
cg06065608,PACRG;PARK2,False,
cg06070625,MITF,False,
cg06080874,-,False,
cg06086731,-,False,
cg06087932,METTL7B,False,
cg06093525,-,False,
cg06095115,CLEC3A,False,
cg06100756,-,False,
cg06128123,FLJ22536,False,
cg06133110,SCRN1,False,
cg06147361,SOX5,False,
cg06148118,LMO2,False,
cg06151744,P2RX5,False,
cg06154159,-,False,
cg06154903,EHD1,False,
cg06160397,LFNG,False,
cg06177967,FAM46B,False,
cg06178179,CA7,False,
cg06181567,NOD2,False,
cg06188083,IFIT3,False,
cg06190082,-,False,
cg06221712,-,False,
cg06224893,DNMT3A,False,
cg06230847,TRIM39,False,
cg06240200,CCDC12,False,
cg06241901,TTBK1,False,
cg06252276,-,False,
cg06270401,DYRK4,False,
cg06280965,-,False,
cg06281680,-,False,
cg06297145,NFXL1,False,
cg06315149,PRKCZ,False,
cg06329392,-,False,
cg06330618,FES,False,
cg06337592,OR5H2,False,
cg06345856,LAMA4,False,
cg06362052,-,False,
cg06366107,ZBTB7B,False,
cg06373377,CDC20,False,
cg06373816,RIMBP2,False,
cg06380199,PRDM16,False,
cg06385583,-,False,
cg06389444,HRNBP3,False,
cg06391412,FOXP1,False,
cg06392753,IL1R1,False,
cg06394874,ZNF257,False,
cg06400319,SPRR2B,False,
cg06409176,SLC8A2,False,
cg06410591,TRIP10,False,
cg06411578,NFE2,False,
cg06413794,AACS,False,
cg06415153,PITPNM2,False,
cg06416221,ORAOV1,False,
cg06416733,-,False,
cg06421614,DLG4,False,
cg06430465,LMF1,False,
cg06432036,DLL1,False,
cg06433023,NR2E1,False,
cg06434428,HAPLN1,False,
cg06441106,TUFT1,False,
cg06453241,-,False,
cg06454226,NDC80;METTL4,False,
cg06471905,ADAM11,False,
cg06480353,-,False,
cg06483820,AKAP1,False,
cg06484274,XRN1,False,
cg06495615,ARID3A,False,
cg06503456,ABCC1,False,
cg06512350,MED12L,False,
cg06517181,KNDC1,False,
cg06518387,-,False,
cg06520307,KRBA1,False,
cg06520331,LOC100188947;HECTD2,False,
cg06521544,ARHGEF3,False,
cg06524531,-,False,
cg06526872,ARTN,False,
cg06527100,TBCK,False,
cg06528737,USP6NL,False,
cg06542681,VAC14,False,
cg06547175,-,False,
cg06556702,GEFT,False,
cg06558622,ZNF862,False,
cg06559756,PITPNC1,False,
cg06560887,LMO2,False,
cg06563229,VIPR2,False,
cg06566034,-,False,
cg06572160,KCNC3,False,
cg06575572,FAM118A,False,
cg06593447,-,False,
cg06597413,-,False,
cg06609866,-,False,
cg06617692,GNA14,False,
cg06620016,-,False,
cg06621126,HSF4,False,
cg06633463,-,False,
cg06633615,-,False,
cg06647693,ZFPM1,False,
cg06647928,-,False,
cg06648780,ALCAM,False,
cg06660522,-,False,
cg06669226,-,False,
cg06672250,EPB49,False,
cg06672737,CPLX1,False,
cg06673130,CPLX1,False,
cg06678678,-,False,
cg06678890,DOT1L,False,
cg06694734,-,False,
cg06698575,-,False,
cg06699461,EBF3,False,
cg06700146,BCL6B,False,
cg06703573,UBE2I,False,
cg06705237,FBP1,False,
cg06709297,C2orf48,False,
cg06710259,-,False,
cg06712053,MSLNL,False,
cg06721473,HYAL2,False,
cg06721601,CUX1,False,
cg06725287,FOXK2,False,
cg06735218,OR51E1,False,
cg06737981,BCR,False,
cg06741803,NSUN4,False,
cg06745030,B3GNT7,False,
cg06746096,-,False,
cg06753684,-,False,
cg06755448,ZNF276,False,
cg06756385,EVL,False,
cg06758644,VPS13D,False,
cg06759971,KIAA0513,False,
cg06768010,LOC151534;LBX2,False,
cg06769231,MIR2117,False,
cg06781209,FADS2,False,
cg06781608,PTPRN2,False,
cg06787912,C21orf82,False,
cg06789445,MITF,False,
cg06792126,-,False,
cg06793505,ACADS,False,
cg06795741,MIR645,False,
cg06797389,PATL2,False,
cg06800840,OASL,False,
cg06816239,SELL,False,
cg06835018,-,False,
cg06845438,ZNF662,False,
cg06846010,MT1L,False,
cg06849477,PRR5,False,
cg06850442,HOTAIR,False,
cg06850687,-,False,
cg06850996,RAPGEF3,False,
cg06854197,-,False,
cg06858186,-,False,
cg06861426,SQSTM1,False,
cg06871974,TNS3,False,
cg06872138,ETF1,False,
cg06879822,DEDD2,False,
cg06889756,PRKD2,False,
cg06891006,WDR1,False,
cg06892898,ELMO1,False,
cg06898463,PBLD,False,
cg06913337,ZFPM1,False,
cg06928993,BCAT2,False,
cg06930433,GLG1,False,
cg06934572,ASAP2,False,
cg06935356,XYLT1,False,
cg06937939,-,False,
cg06954761,ITPR3,False,
cg06968912,PTRF,False,
cg06972911,FAM59A,False,
cg06974175,ART5,False,
cg06974662,-,False,
cg06975018,ARG1,False,
cg06983322,RHBDL1,False,
cg06996273,TP73,False,
cg07006853,ZNF395,False,
cg07007118,CXCR7,False,
cg07007621,C16orf55;CHMP1A,False,
cg07011163,SLC16A11,False,
cg07013698,-,False,
cg07017869,-,False,
cg07025593,-,False,
cg07028869,DNAJC22,False,
cg07033722,PPT1,False,
cg07033876,-,False,
cg07037374,-,False,
cg07040604,-,False,
cg07044938,-,False,
cg07046030,-,False,
cg07052231,PEX5,False,
cg07058694,ATXN2,False,
cg07060074,SUOX,False,
cg07060204,MYT1L,False,
cg07064720,-,False,
cg07080231,-,False,
cg07081759,FAM53B,False,
cg07085167,FBXO34,False,
cg07096238,-,False,
cg07099827,SYNGR3,False,
cg07100508,SEMA6A,False,
cg07102397,FOXN3,False,
cg07104919,C11orf49,False,
cg07110010,HEATR2,False,
cg07136133,PRR5L,False,
cg07137606,PLD5,False,
cg07145284,CD248,False,
cg07145598,IQCH,False,
cg07148591,MIR548H4;GLCE,False,
cg07156824,RAB35,False,
cg07159230,CASZ1,False,
cg07167946,IRX4,False,
cg07177867,LYSMD2,False,
cg07181374,PLEKHG5,False,
cg07184013,MIR148A,False,
cg07185119,EHD3,False,
cg07192734,ACSF3,False,
cg07197230,CECR2,False,
cg07211476,-,False,
cg07216436,-,False,
cg07217954,C7orf50,False,
cg07236781,RUNX3,False,
cg07241925,MAEA,False,
cg07243930,TRPC2,False,
cg07249730,MSI2,False,
cg07258167,QDPR,False,
cg07258838,FAM26D;BET3L,False,
cg07267550,PRCD,False,
cg07269682,TSPAN4;POLR2L,False,
cg07274590,-,False,
cg07277633,ATP2C2,False,
cg07279321,PHACTR1,False,
cg07291836,TP53RK,False,
cg07298431,PRDM10,False,
cg07313835,POU2F1,False,
cg07316166,-,False,
cg07324381,GPSM1;LOC26102,False,
cg07336426,-,False,
cg07337602,ST6GAL1,False,
cg07344172,KIF21B,False,
cg07344315,RAP1B,False,
cg07350501,CSDAP1,False,
cg07352158,FSTL1,False,
cg07359306,ITIH1,False,
cg07368796,-,False,
cg07374808,BRUNOL4,False,
cg07380590,-,False,
cg07385573,USP36,False,
cg07387383,-,False,
cg07393674,-,False,
cg07403899,-,False,
cg07405370,DNAJC5,False,
cg07411238,B4GALNT1,False,
cg07414492,ADAM33,False,
cg07418175,D4S234E,False,
cg07422042,LOC150197,False,
cg07435331,-,False,
cg07439157,CYGB,False,
cg07443710,-,False,
cg07446767,-,False,
cg07449799,ZNF35,False,
cg07452706,NUDT14,False,
cg07457252,-,False,
cg07463445,-,False,
cg07471461,-,False,
cg07488576,SDPR,False,
cg07507518,FRMD6,False,
cg07517893,PPP1R13L,False,
cg07533630,IFI30,False,
cg07552087,MLST8,False,
cg07557690,TGFBR3,False,
cg07559178,-,False,
cg07564962,-,False,
cg07601967,PAK7,False,
cg07609780,-,False,
cg07613752,-,False,
cg07614623,-,False,
cg07617814,ZNF217,False,
cg07618453,KCNQ1,False,
cg07619672,DAPK2,False,
cg07621645,ARHGAP15,False,
cg07621749,LTK,False,
cg07624918,-,False,
cg07633835,FBXO18,False,
cg07639982,CAMK1D,False,
cg07646362,-,False,
cg07651832,-,False,
cg07654282,OR6B1,False,
cg07660671,SOX7,False,
cg07664999,RIMS2,False,
cg07671644,PRKD3,False,
cg07677850,ADORA2B,False,
cg07688779,MEIS2,False,
cg07690734,LRRC27,False,
cg07691152,-,False,
cg07692939,ELTD1,False,
cg07693617,PRKCZ,False,
cg07693974,ORAI3,False,
cg07700925,-,False,
cg07704981,NOS2,False,
cg07706053,PAX7,False,
cg07711387,-,False,
cg07717632,C9orf167,False,
cg07721569,TFAP2A,False,
cg07723158,KISS1R,False,
cg07727884,MFAP4,False,
cg07729082,ZC3H18,False,
cg07733260,SETMAR,False,
cg07747220,OXT,False,
cg07748741,UBTD1,False,
cg07750741,CYFIP2,False,
cg07760161,TP53;WRAP53,False,
cg07763376,COL23A1,False,
cg07771727,-,False,
cg07781995,-,False,
cg07793638,PHF13,False,
cg07795614,-,False,
cg07795928,ITPKB,False,
cg07798560,-,False,
cg07799572,NAIP,False,
cg07804289,SPRR2C,False,
cg07805604,CCDC106,False,
cg07808899,-,False,
cg07809176,REP15,False,
cg07813851,CAMTA1,False,
cg07816074,SH3TC1,False,
cg07819010,-,False,
cg07835443,C16orf55,False,
cg07841173,GATA2,False,
cg07846167,FBLIM1,False,
cg07861448,MSC,False,
cg07862461,SIRPA,False,
cg07862554,MME,False,
cg07869839,SIGLEC15,False,
cg07870528,-,False,
cg07875121,PFDN1,False,
cg07877229,EPHB6,False,
cg07891533,-,False,
cg07893474,C3orf43,False,
cg07908654,-,False,
cg07914457,NR0B2,False,
cg07914856,-,False,
cg07915730,TSPAN9,False,
cg07916022,GPR39;LYPD1,False,
cg07935340,NPPC,False,
cg07948968,SEPT12;LOC440335,False,
cg07954423,FAM102A,False,
cg07955126,LRPAP1,False,
cg07961479,VSIG8;C1orf204,False,
cg07967632,LRRK1,False,
cg07968770,TMEM159;DNAH3,False,
cg07970948,ZNF862,False,
cg07979747,DDR1,False,
cg07993350,FGFBP1,False,
cg07999415,NUMA1,False,
cg08000684,RGL3,False,
cg08003789,-,False,
cg08015382,-,False,
cg08017911,AGPAT9,False,
cg08018572,LMF1,False,
cg08030282,F11R,False,
cg08042322,NT5DC3,False,
cg08044454,ELMO1,False,
cg08047482,RAB3D,False,
cg08065733,INHBB,False,
cg08076018,ANGPTL2;RALGPS1,False,
cg08078751,-,False,
cg08082810,-,False,
cg08085199,CIRH1A,False,
cg08085357,SOX2OT,False,
cg08098868,ANKFN1,False,
cg08101174,-,False,
cg08106339,OR51A2,False,
cg08110693,PXT1,False,
cg08123528,RYBP,False,
cg08126542,-,False,
cg08126875,-,False,
cg08129761,C6orf126,False,
cg08134680,EPHA10,False,
cg08136042,FIGNL2,False,
cg08140055,KY,False,
cg08142918,FOXF1,False,
cg08145177,ABHD8,False,
cg08146323,ZNF835,False,
cg08148802,LSP1,False,
cg08151442,LRRFIP1,False,
cg08154963,RAD51L3,False,
cg08158662,-,False,
cg08158862,NR5A2,False,
cg08161491,SDHC,False,
cg08161802,SDC3,False,
cg08173709,FOXP1,False,
cg08178956,-,False,
cg08183407,-,False,
cg08184936,-,False,
cg08185345,EFNA3,False,
cg08193579,LRRC34,False,
cg08198176,ITGA9,False,
cg08202836,LRRC33,False,
cg08204162,PEBP4,False,
cg08206318,PITX1,False,
cg08207604,DEF6,False,
cg08239753,PPP1R3E,False,
cg08239906,RNF126,False,
cg08251815,C2orf89,False,
cg08253808,WDR20,False,
cg08256939,ADORA3,False,
cg08268892,ARID1B,False,
cg08273640,TBC1D14,False,
cg08273772,ATXN2,False,
cg08284993,ANKRD11,False,
cg08288016,FAT1,False,
cg08293531,LRRK1,False,
cg08310008,-,False,
cg08312765,-,False,
cg08313539,-,False,
cg08315145,INPPL1,False,
cg08317263,CCDC69,False,
cg08319974,-,False,
cg08349400,GCLC,False,
cg08355260,LOC151534;LBX2,False,
cg08357125,-,False,
cg08358683,NNT,False,
cg08370173,-,False,
cg08374746,AGAP1,False,
cg08375286,DAXX,False,
cg08382332,-,False,
cg08388111,DDIT4,False,
cg08392484,ELL2,False,
cg08393788,-,False,
cg08394896,FBXL18,False,
cg08396863,TUBA4B;TUBA4A,False,
cg08404225,IL5RA,True,IL5RA
cg08411833,-,False,
cg08412537,-,False,
cg08413427,DBF4B,False,
cg08420239,ZNF768,False,
cg08425187,-,False,
cg08426951,CCDC61;MIR769,False,
cg08427717,ICAM1,False,
cg08429256,SLC16A3,False,
cg08435683,SLC23A2,False,
cg08438071,PANK1,False,
cg08443717,-,False,
cg08447934,ACVRL1,False,
cg08448751,SEMA3G,False,
cg08454563,SLC35E4,False,
cg08458678,SHANK2,False,
cg08462941,PTPRS,False,
cg08463297,-,False,
cg08466792,-,False,
cg08472341,-,False,
cg08472633,GALNS,False,
cg08472795,HS6ST1,False,
cg08477158,BCAS3,False,
cg08480774,KIAA0182,False,
cg08499881,AANAT,False,
cg08504583,SLAIN1,False,
cg08529345,-,False,
cg08535978,MBNL1,False,
cg08541297,IGFBP3,False,
cg08541457,-,False,
cg08541642,SYN2,False,
cg08543327,SLC12A7,False,
cg08548089,-,False,
cg08562099,MSI2,False,
cg08563299,NWD1,False,
cg08568554,BIVM,False,
cg08569517,TMPRSS9,False,
cg08571304,DLG5,False,
cg08572336,SHANK1,False,
cg08573355,TAPBP;ZBTB22,False,
cg08574558,-,False,
cg08575894,-,False,
cg08577953,-,False,
cg08607612,-,False,
cg08614871,KLF6,False,
cg08615567,CPXM2,False,
cg08622757,MNX1,False,
cg08625239,SLFN5,False,
cg08639339,SLC45A3,False,
cg08640475,-,False,
cg08642068,SPAG4L,False,
cg08642285,CALML4,False,
cg08651538,C5orf13,False,
cg08652369,LRIG1,False,
cg08666707,-,False,
cg08671647,PCDH7,False,
cg08676249,AUTS2,False,
cg08691422,TP53;WRAP53,False,
cg08692006,TNFAIP8L1,False,
cg08693745,-,False,
cg08710629,SLC7A5,False,
cg08715226,TNFRSF6B,False,
cg08716396,SDHC;LOC642502,False,
cg08726338,PLEKHH2;LOC728819,False,
cg08730743,SKI,False,
cg08747889,PTK7,False,
cg08749351,TIMP2,False,
cg08764599,-,False,
cg08767938,-,False,
cg08772567,KCNMA1,False,
cg08773180,PRG2,False,
cg08776014,RIPK4,False,
cg08776109,HYAL2,False,
cg08782002,CCDC47,False,
cg08784934,DIP2C,False,
cg08787791,C13orf30,False,
cg08807995,SOLH,False,
cg08811314,CMIP,False,
cg08820104,-,False,
cg08826152,ADORA2B,False,
cg08827454,-,False,
cg08827674,LLGL2,False,
cg08833675,SOX7,False,
cg08843064,-,False,
cg08848753,SLC26A1,False,
cg08848903,TGFBR3,False,
cg08849628,-,False,
cg08853735,-,False,
cg08858998,-,False,
cg08862373,-,False,
cg08866794,C6orf132,False,
cg08886063,VPS53,False,
cg08905753,HLA-DOB,False,
cg08916374,POLR3GL;ANKRD34A,False,
cg08923349,RRAS2,False,
cg08940169,ZFPM1,False,
cg08942527,EFNA5,False,
cg08943494,PRR5L,False,
cg08946601,NR2E1,False,
cg08949974,RBM47,False,
cg08956463,TREML2,False,
cg08959182,-,False,
cg08959230,ZNF48,False,
cg08966306,-,False,
cg08969102,-,False,
cg08973717,DDAH2,False,
cg08978665,IL32,False,
cg08981041,-,False,
cg08986840,-,False,
cg09001591,FAM179A,False,
cg09004195,EPHA4,False,
cg09005159,CLIP2,False,
cg09011891,-,False,
cg09012001,IFFO2,False,
cg09018739,CPNE2,False,
cg09020649,FZD6,False,
cg09028855,EIF2S2,False,
cg09037813,LRRFIP1,False,
cg09048129,USP2,False,
cg09051119,MYH9,False,
cg09061454,ZNF668,False,
cg09072560,MARCKSL1,False,
cg09076337,TSHR,False,
cg09078527,-,False,
cg09080522,PARVG,False,
cg09089242,LMO2,False,
cg09092280,-,False,
cg09107710,TNXB,False,
cg09116618,-,False,
cg09117778,-,False,
cg09120171,NLK,False,
cg09128169,MFHAS1,False,
cg09132058,-,False,
cg09143964,FAM196B;DOCK2,False,
cg09147140,KBTBD11,False,
cg09148344,CAMTA1,False,
cg09168808,-,False,
cg09171638,B3GNTL1,False,
cg09175620,LDLRAD1,False,
cg09181559,OVOL1,False,
cg09182435,CAMTA1,False,
cg09212118,GUCA2A,False,
cg09219547,RPS6KA2,False,
cg09223851,SH2B2,False,
cg09225373,-,False,
cg09226596,-,False,
cg09234161,CCDC102A,False,
cg09248276,-,False,
cg09249101,-,False,
cg09249800,ACOT7,False,
cg09251328,OAZ3,False,
cg09251737,RPL23AP64;CCDC84,False,
cg09257526,IL6R,False,
cg09269945,BMP7,False,
cg09270346,-,False,
cg09289674,GLDN,False,
cg09290600,-,False,
cg09314196,ZNF492,False,
cg09314700,-,False,
cg09332506,COPA,False,
cg09333785,SH3TC1,False,
cg09335712,TEX2,False,
cg09336988,ARHGEF1,False,
cg09344028,-,False,
cg09355027,-,False,
cg09357438,SPINK2,False,
cg09360974,-,False,
cg09366342,PAX7,False,
cg09372546,MFSD3,False,
cg09377531,TRAPPC9,False,
cg09378756,PCK2,False,
cg09410271,CD86,False,
cg09417809,-,False,
cg09419444,WWP2,False,
cg09440603,NCRNA00111,False,
cg09446896,AAK1,False,
cg09449069,-,False,
cg09451092,CCDC19,False,
cg09462576,MRPL55,False,
cg09470010,GBF1,False,
cg09482611,CST6,False,
cg09486902,-,False,
cg09489306,-,False,
cg09491828,-,False,
cg09494609,TENC1,False,
cg09499482,FBXL22,False,
cg09507215,ATP11A,False,
cg09509183,IRF6,False,
cg09513259,GBGT1,False,
cg09513276,BMP7,False,
cg09534489,IFT140,False,
cg09537533,-,False,
cg09537620,PAX6,False,
cg09545579,BAHCC1,False,
cg09553380,ADAM23,False,
cg09557462,ADRA1A,False,
cg09557766,-,False,
cg09565310,MCC,False,
cg09565319,SMOC2,False,
cg09577575,-,False,
cg09579833,UBA7,False,
cg09584591,TGFBI,False,
cg09586183,TLX1;TLX1NB,False,
cg09596116,MIR148A,False,
cg09619786,RPP25,False,
cg09632271,STAP1,False,
cg09641578,BAHD1,False,
cg09646173,PDE6A,False,
cg09658645,ENPP7,False,
cg09662852,-,False,
cg09673208,ODZ4,False,
cg09676390,ADARB1;C21orf122,False,
cg09678212,CTNNB1,False,
cg09692822,INTS1,False,
cg09695261,TMEM105,False,
cg09696385,SND1,False,
cg09696535,BPIL2,False,
cg09700210,MYOCD,False,
cg09700701,GAL3ST3,False,
cg09701144,-,False,
cg09709472,SOX7,False,
cg09723161,LFNG,False,
cg09730500,GPR56,False,
cg09734761,-,False,
cg09747633,-,False,
cg09754110,CASZ1,False,
cg09754272,C1orf61,False,
cg09766547,NOD1,False,
cg09768821,UQCRHL,False,
cg09774932,WNT5B,False,
cg09780241,-,False,
cg09784168,DOCK4,False,
cg09791743,CNPY3,False,
cg09793776,PPP1CA,False,
cg09809672,EDARADD,False,
cg09813986,ZFR,False,
cg09816018,TRIM31,False,
cg09820180,-,False,
cg09824603,-,False,
cg09834049,CDH24,False,
cg09847368,GALNT2,False,
cg09859596,ALPL,False,
cg09863066,PVALB,False,
cg09868354,-,False,
cg09871265,-,False,
cg09882901,-,False,
cg09890077,NAALADL2,False,
cg09894383,HSD17B2,False,
cg09907758,C11orf95,False,
cg09911485,DEGS2,False,
cg09915500,ETS1,False,
cg09921555,TOMM34,False,
cg09933329,GCK,False,
cg09940188,SMYD4,False,
cg09941381,RTKN2,False,
cg09941406,-,False,
cg09959718,SLC3A1,False,
cg09965939,NIPAL2,False,
cg09976716,CAPZB,False,
cg09981533,BAT1,False,
cg09983546,-,False,
cg09985832,FAM150B,False,
cg10006419,SPEM1,False,
cg10022788,GNA15,False,
cg10024583,TBKBP1,False,
cg10042132,-,False,
cg10049789,SH3TC1,False,
cg10054641,TMEM71,False,
cg10055398,HLA-DPB2,False,
cg10055950,C1GALT1,False,
cg10056482,EEPD1,False,
cg10056728,PA2G4;ERBB3,False,
cg10057098,LOC728448;BMP8A,False,
cg10057879,RHBDL3,False,
cg10075287,ZNF385B,False,
cg10075360,DPYSL2,False,
cg10077746,DUSP6,False,
cg10091866,HMCN1,False,
cg10096040,-,False,
cg10099827,-,False,
cg10101773,JDP2,False,
cg10110884,AADAC,False,
cg10111816,CDR2,False,
cg10112017,-,False,
cg10127660,REEP4,False,
cg10127921,-,False,
cg10130088,-,False,
cg10132273,CHRNA2,False,
cg10133935,DAZAP1,False,
cg10138630,EVPL,False,
cg10142874,LPIN1,False,
cg10143426,TP73;WDR8,False,
cg10149582,CMTM5,False,
cg10156042,DEPDC5,False,
cg10159529,IL5RA,True,IL5RA
cg10163122,C6orf106,False,
cg10168330,PTK2B,False,
cg10168635,C2orf88,False,
cg10172253,TTLL7,False,
cg10186733,-,False,
cg10187792,RAB37,False,
cg10194536,NXN,False,
cg10205045,ANP32A,False,
cg10211873,KIAA0513,False,
cg10227919,RFX2,False,
cg10238080,-,False,
cg10240148,-,False,
cg10242372,-,False,
cg10244976,LMF1,False,
cg10246903,-,False,
cg10257332,DHX30,False,
cg10264529,PCK2,False,
cg10285618,MIR559;EPCAM,False,
cg10298741,ZFHX3,False,
cg10299610,-,False,
cg10301767,-,False,
cg10310595,HLA-DMB,False,
cg10328171,KIAA0513,False,
cg10338112,-,False,
cg10371414,-,False,
cg10378083,-,False,
cg10381071,TLE3,False,
cg10385208,CCDC49,False,
cg10387956,HEXA,False,
cg10398455,EXOC6B,False,
cg10408731,CCT6P1,False,
cg10409981,-,False,
cg10413136,SH3TC1,False,
cg10416963,PRDM5,False,
cg10434728,IQGAP1,False,
cg10437839,PPP2R5B,False,
cg10454864,-,False,
cg10459187,PAPD5,False,
cg10460168,SRP19,False,
cg10462803,-,False,
cg10464130,KALRN,False,
cg10493055,TSPAN5,False,
cg10495047,-,False,
cg10499493,RPL31;TBC1D8,False,
cg10499753,CPNE7,False,
cg10502324,-,False,
cg10511467,CMIP,False,
cg10512886,ZNF385A,False,
cg10515232,HDAC4,False,
cg10523140,TBC1D8,False,
cg10531637,C22orf41,False,
cg10540110,KDM5B,False,
cg10546817,-,False,
cg10549018,TLL2,False,
cg10549933,-,False,
cg10552106,IGSF10,False,
cg10555106,LOC388588,False,
cg10557552,WDR20,False,
cg10574566,-,False,
cg10582648,IFFO2,False,
cg10587854,-,False,
cg10589447,-,False,
cg10604851,-,False,
cg10606923,CYFIP2,False,
cg10609442,NCOR2,False,
cg10611016,C11orf42,False,
cg10611760,ACHE,False,
cg10618882,LRRC25,False,
cg10625096,-,False,
cg10634136,FZD7,False,
cg10636020,KCNH2,False,
cg10636896,-,False,
cg10648763,TGFBI,False,
cg10651168,ICAM1,False,
cg10658438,GP5,False,
cg10658573,-,False,
cg10660253,NANOG,False,
cg10668363,ZNF175,False,
cg10687936,ZNF148,False,
cg10690440,-,False,
cg10691109,PRKAR2B,False,
cg10700564,ASCL1,False,
cg10704177,INADL,False,
cg10710218,ACOT11,False,
